y,x1,x2,x3
5749440,795,113,64
62030080,196,989,320
11023344,136,237,342
186662000,1000,469,398
1642500,450,25,146
36022,31,83,14
53373320,434,715,172
8622570,330,901,29
44756250,875,62,825
91838400,265,760,456
29817018,303,426,231
3251403,237,17,807
43691400,580,243,310
42070068,683,708,87
250490400,915,590,464
48837600,336,855,170
68011968,201,544,622
6655770,66,249,405
104192880,647,915,176
123177864,842,219,668
11601744,112,803,129
137104,152,2,451
25311606,493,129,398
749250000,1000,810,925
387350400,771,628,800
310063,23,221,61
68670446,703,221,442
2956500,657,10,450
93074592,533,408,428
128266700,394,425,766
72234180,334,405,534
79496637,473,463,363
81980584,233,488,721
275310,9,95,322
78414840,444,609,290
148847088,338,622,708
57566964,357,886,182
24420572,649,46,818
141858480,829,345,496
6733728,103,96,681
28232632,152,281,661
92276400,786,587,200
140145984,909,292,528
379931670,543,830,843
155301732,502,337,918
138466224,741,204,916
10168340,148,755,91
7815280,535,44,332
507627890,895,889,638
10631940,89,181,660
10003840,112,812,110
204766305,941,267,815
64451954,994,413,157
216147904,524,464,889
351921724,847,532,781
495980052,998,733,678
8484497,499,49,347
38435100,209,300,613
69155937,477,543,267
190638684,369,762,678
12414392,964,137,94
321318500,745,475,908
772200,495,312,5
57185700,330,559,310
193539256,821,746,316
15363110,371,82,505
12013056,108,352,316
116973600,705,305,544
20267752,58,796,439
5886872,628,43,218
403335372,921,538,814
383767200,480,815,981
25075776,383,704,93
148219247,869,893,191
51685920,468,502,220
95861276,773,206,602
172704224,527,532,616
206312736,719,392,732
981396,233,52,81
108712450,770,187,755
30724056,772,99,402
94060605,695,591,229
297813600,630,622,760
8280360,902,30,306
315213108,681,854,542
170072760,780,242,901
77277645,333,573,405
129304040,395,493,664
40561950,806,183,275
110455794,786,417,337
14466816,432,56,598
423720,33,15,856
189294888,904,223,939
119848476,926,159,814
273394560,453,640,943
54218892,492,173,637
47218749,307,501,307
278711400,698,660,605
194453184,788,388,636
158086944,423,916,408
549529056,776,996,711
39636324,148,273,981
47636600,550,367,236
236574000,468,674,750
52824992,752,206,341
175452750,695,850,297
255038904,414,914,674
38287600,199,740,260
89177256,322,314,882
48840064,599,784,104
74266416,599,189,656
19090438,334,61,937
299869656,797,732,514
152344850,739,350,589
394480812,869,627,724
8869392,147,838,72
38536960,170,644,352
8514240,181,490,96
13277360,970,472,29
117632281,571,299,689
126952788,746,226,753
4279124,58,997,74
1128192,113,12,832
1357664,812,2,836
271613940,470,806,717
135654468,892,163,933
374994500,785,562,850
152473776,521,804,364
21061150,298,275,257
109312380,834,170,771
1605026,89,71,254
198963816,328,839,723
4031300,65,140,443
19734000,715,400,69
196203840,224,970,903
171505350,255,795,846
86829900,635,860,159
551481210,963,606,945
8849792,332,544,49
20164592,301,848,79
8793884,157,67,836
367472070,809,618,735
329292100,542,838,725
210054636,964,279,781
14469720,820,51,346
33142614,557,282,211
146582397,849,741,233
249760952,809,518,596
111484105,373,565,529
13636590,473,30,961
114079287,483,401,589
65991072,849,347,224
131979540,847,245,636
301546476,378,869,918
50329755,433,567,205
421155000,573,840,875
61314844,811,461,164
167861832,883,267,712
5001332,833,158,38
6301680,66,682,140
50626212,91,716,777
106563600,720,345,429
472317120,576,877,935
449906184,564,819,974
168204960,259,984,660
8448720,214,210,188
101872960,584,890,196
170143176,453,532,706
116631424,806,532,272
96961860,243,562,710
422761310,778,955,569
168158560,293,680,844
62558496,234,784,341
27903324,313,391,228
347256,364,53,18
2601765,895,57,51
5032416,31,712,228
19463640,120,203,799
135478050,734,321,575
65913939,579,973,117
200576376,429,616,759
16811640,804,170,123
189011515,583,785,413
30609179,271,179,631
57442558,89,926,697
71334432,156,657,696
219353904,657,542,616
134627850,350,541,711
177939684,549,542,598
76001044,956,277,287
150172896,802,752,249
58075710,811,341,210
51094428,154,457,726
44201560,668,130,509
217283430,923,590,399
113071140,507,945,236
344520,135,8,319
8506680,420,533,38
34552224,126,591,464
24012576,774,554,56
26189520,340,84,917
262116036,899,801,364
100843056,148,701,972
63472996,899,76,929
99763650,966,459,225
87057100,650,167,802
155501850,658,345,685
126409374,674,687,273
124943268,713,859,204
118138656,478,912,271
230581912,649,712,499
61767411,597,659,157
198338188,886,274,817
11430705,73,429,365
31359900,75,473,884
13231440,470,136,207
142322256,591,348,692
70891632,378,238,788
18299840,260,166,424
12438352,716,172,101
106247680,560,484,392
1191528,114,134,78
25999530,555,59,794
234835620,435,934,578
45865443,321,379,377
202918873,911,631,353
29099070,187,210,741
10557844,803,346,38
43338152,86,572,881
56117438,793,82,863
1518984,24,867,73
83239296,716,336,346
173219200,370,836,560
631680,12,70,752
196769760,664,660,449
245205900,591,461,900
96260136,584,501,329
10910900,308,65,545
42429408,112,618,613
129677154,186,841,829
15941904,132,277,436
193071600,505,472,810
87861620,967,154,590
55632000,608,300,305
143725424,589,404,604
114168285,523,567,385
504472800,888,575,988
195839578,869,562,401
37283104,628,164,362
86270184,286,342,882
9203220,621,20,741
219731388,566,534,727
164487900,430,615,622
179257160,844,670,317
86370648,994,156,557
63500976,996,483,132
15496008,743,88,237
266692608,832,864,371
3035800,20,706,215
14193894,923,699,22
33832864,668,974,52
3685080,70,214,246
205868616,346,831,716
38401920,452,240,354
2273250,3,866,875
122862600,796,210,735
227028756,254,958,933
146612466,721,286,711
1143275,175,47,139
320068350,417,850,903
142305345,767,279,665
58689840,660,946,94
5826500,271,100,215
32997272,374,322,274
102648564,618,186,893
8154080,452,328,55
18318334,62,359,823
4210635,151,143,195
42056630,965,77,566
546278656,749,896,814
40667354,233,637,274
152982144,622,252,976
3717072,622,747,8
18467712,328,414,136
81704403,801,843,121
6166512,264,687,34
134327739,893,273,551
91490175,425,469,459
55745855,649,419,205
4920240,195,38,664
5827500,100,105,555
59234868,419,378,374
37522400,445,248,340
51985065,255,473,431
5628324,436,39,331
99747296,844,136,869
364042560,497,763,960
2776455,395,33,213
460529160,910,543,932
3357984,263,32,399
693161264,944,799,919
41185168,746,134,412
2949540,615,22,218
123450956,653,313,604
522144,2,441,592
70895847,451,183,859
2169720,246,630,14
21647232,828,43,608
211090880,659,770,416
381359070,570,711,941
219672117,349,927,679
5632380,116,415,117
186450880,736,539,470
811950200,971,925,904
871720,74,620,19
78068100,164,825,577
145236798,721,589,342
174762159,773,403,561
61268200,409,200,749
2546544,106,429,56
24888960,192,290,447
68475264,416,348,473
265417600,952,680,410
484244720,794,790,772
262512922,742,709,499
42624225,279,679,225
30910347,793,639,61
688978800,785,920,954
487421415,793,785,783
984940,242,110,37
214457985,497,669,645
17904600,87,294,700
64185693,561,169,677
462069760,778,640,928
159501760,904,802,220
239520625,409,625,937
86624544,852,284,358
13808256,308,96,467
139450896,279,712,702
104074932,438,494,481
68223003,241,743,381
248922399,957,989,263
296424225,675,797,551
96227286,589,373,438
125932152,551,642,356
8618610,273,41,770
3724992,232,18,892
19052632,674,191,148
84633600,304,348,800
57323000,665,100,862
464999901,633,943,779
67498935,445,699,217
103902336,404,608,423
390579735,637,997,615
94774180,535,268,661
603834528,916,968,681
14089082,413,461,74
91410176,416,227,968
18892384,386,184,266
98841750,469,562,375
517000,22,250,94
14660880,52,635,444
246192440,395,676,922
51642972,566,411,222
134982560,724,316,590
32977920,678,640,76
1400448,521,672,4
31181084,179,214,814
79955850,325,626,393
50370320,374,364,370
357584220,567,914,690
570295488,672,971,874
278831280,751,663,560
436775220,476,945,971
43088232,88,719,681
408077344,674,958,632
318079047,957,481,691
2719932,597,68,67
334319244,591,908,623
129547454,149,922,943
18909696,208,96,947
43736320,188,727,320
16128644,133,854,142
73353072,807,247,368
4668586,422,23,481
11227355,131,281,305
86945492,317,382,718
355106304,606,763,768
8135486,986,37,223
175668288,636,283,976
127388800,308,550,752
5632208,38,382,388
35663440,131,410,664
114538125,975,185,635
26293680,329,120,666
77518800,976,353,225
37476120,726,890,58
120511794,741,698,233
567616892,859,932,709
111146880,438,416,610
6763770,235,369,78
38857629,499,771,101
272051145,635,543,789
12626900,572,883,25
188507220,583,634,510
231273840,290,987,808
260538,2,519,251
13308300,477,60,465
43752594,101,527,822
495891396,891,973,572
26785570,115,917,254
721761576,934,852,907
20450820,942,65,334
127954008,331,504,767
53832240,971,330,168
128543922,603,911,234
7574760,636,397,30
624272010,965,787,822
87969402,243,571,634
24203872,77,752,418
143360000,256,896,625
93903204,794,857,138
149185512,413,519,696
34851300,179,649,300
32840412,667,746,66
11371950,683,225,74
75464250,239,750,421
278055740,629,620,713
3439946,226,491,31
5139936,661,108,72
109520814,962,411,277
39808792,718,668,83
208856560,607,782,440
39031200,120,556,585
22399740,99,270,838
39140010,378,295,351
37170126,222,357,469
95405206,611,202,773
13015769,101,299,431
259164356,671,433,892
112580916,582,574,337
153577578,679,298,759
26272820,980,83,323
154301574,427,789,458
19897416,873,259,88
12040180,71,556,305
11256732,162,313,222
61864992,848,386,189
155052240,408,890,427
14269200,920,517,30
99459360,936,220,483
50654912,541,266,352
184683240,479,540,714
550312086,779,843,838
17481573,201,159,547
70860300,615,140,823
206174280,390,887,596
31955796,114,783,358
116418465,555,457,459
52066575,165,965,327
6246735,393,289,55
6710890,29,365,634
86615016,508,314,543
5086400,170,55,544
241269470,389,845,734
58622760,774,541,140
49367190,109,465,974
106916040,609,770,228
101363600,386,808,325
444878,43,14,739
326213000,527,1000,619
363803440,767,616,770
15049840,232,65,998
136991360,704,290,671
105119775,549,851,225
1466114,17,403,214
39608198,323,922,133
335464780,934,733,490
12676248,467,468,58
15512400,278,180,310
85674902,181,761,622
141272208,411,496,693
27463311,543,733,69
94115672,974,406,238
6811200,990,215,32
7580664,534,28,507
852600,350,14,174
172782192,968,213,838
75514816,562,646,208
46071512,74,982,634
125649214,563,302,739
24732477,63,979,401
94248000,252,500,748
91723170,885,673,154
154703664,393,708,556
236902708,428,739,749
332305260,670,686,723
32935392,961,72,476
45895850,262,539,325
21272355,221,155,621
8017800,23,664,525
37874100,759,50,998
9738144,136,324,221
14505613,31,491,953
46123182,623,81,914
278352504,762,556,657
205155160,380,686,787
80154102,337,294,809
306437065,809,485,781
5167946,838,7,881
129639744,624,597,348
127778280,701,372,490
35872608,831,71,608
69414400,464,680,220
312518250,621,825,610
83382310,605,503,274
24307470,571,43,990
6323460,363,67,260
144045000,198,970,750
16558450,89,305,610
13066740,916,951,15
207298680,921,680,331
304553112,978,508,613
1264494,561,49,46
263008140,577,535,852
195286608,902,873,248
75436752,386,204,958
253833775,325,823,949
74736480,520,708,203
88584192,512,486,356
251408025,647,785,495
331288254,946,501,699
328224848,476,844,817
7983404,52,187,821
28155280,353,997,80
17664010,413,329,130
367537023,613,651,921
329342720,448,890,826
314812960,920,707,484
31592778,618,469,109
42171470,298,913,155
105275352,708,559,266
142944310,757,821,230
53542125,125,819,523
26410353,173,337,453
247779832,641,422,916
117160974,714,249,659
138834825,659,795,265
99001360,614,232,695
64420782,249,467,554
194944860,999,887,220
10908000,303,800,45
1114344,804,42,33
19994380,271,595,124
29040812,46,958,659
286650000,700,468,875
209522250,753,795,350
218283180,246,890,997
148570633,563,323,817
34116544,77,736,602
16019850,803,285,70
48296260,191,470,538
3970440,123,807,40
30716784,42,744,983
9966726,799,891,14
11035115,307,91,395
38675425,265,505,289
577158904,773,796,938
120215502,339,891,398
1506132,428,69,51
47231100,833,84,675
109930704,221,688,723
98645820,178,754,735
269153900,355,835,908
43259216,728,814,73
137923584,834,646,256
64398040,332,238,815
170165070,283,918,655
296037000,777,500,762
25538352,112,867,263
514080,102,56,90
7364400,570,680,19
174486312,538,462,702
42681872,466,856,107
171961128,387,536,829
161387715,867,631,295
155492100,788,877,225
118107080,457,568,455
141294828,433,426,766
108203040,990,828,132
14380704,334,276,156
60634760,124,914,535
37251760,344,238,455
208849752,486,621,692
133177590,690,273,707
237095808,688,692,498
433621440,959,471,960
1555890,717,5,434
514651200,800,867,742
9107658,123,301,246
70976360,434,221,740
35610260,145,358,686
176308275,325,967,561
8939424,58,741,208
96294928,496,367,529
45376968,91,948,526
376936176,642,929,632
78065680,253,760,406
12595400,887,142,100
212217018,947,338,663
311043645,629,999,495
387379200,640,970,624
191007432,526,462,786
118344512,832,193,737
214047680,280,803,952
366295230,815,574,783
62523552,421,208,714
23951730,362,401,165
32071248,153,397,528
167219361,549,437,697
6569196,86,174,439
27924162,633,137,322
308753900,637,740,655
52278525,585,305,293
35904000,704,750,68
546908160,760,768,937
2402640,20,284,423
10852596,68,257,621
1722240,180,299,32
95008550,931,314,325
290114304,503,751,768
397035600,821,975,496
387556,754,257,2
32255016,823,568,69
92095500,875,147,716
3579264,478,117,64
436884768,724,612,986
4546958,13,977,358
9742680,90,291,372
470550816,864,743,733
50821485,559,95,957
2062928,452,28,163
87199840,689,160,791
458816076,738,794,783
6348242,19,634,527
205538585,305,809,833
1644489,33,113,441
68665380,815,238,354
115286080,962,749,160
30072353,359,211,397
5863572,198,67,442
294861190,515,722,793
387185064,642,724,833
97544817,563,621,279
9018240,61,168,880
26079768,884,198,149
25561050,478,93,575
37214805,807,401,115
72830448,564,306,422
467928540,876,745,717
5322240,198,42,640
76167000,875,468,186
9419319,63,403,371
13111800,200,533,123
2246880,20,744,151
93199925,577,355,455
23549760,136,185,936
7827456,42,364,512
59369376,352,269,627
96496815,305,489,647
115448060,916,455,277
146449059,431,573,593
61022520,765,472,169
37824660,789,141,340
233681565,559,961,435
12771825,339,685,55
54885360,976,345,163
6115200,150,104,392
55647072,356,468,334
123996900,597,268,775
24205090,871,70,397
118009320,299,759,520
40473192,646,908,69
63404136,632,471,213
137077020,285,538,894
269382204,691,819,476
87054303,543,259,619
286431912,612,766,611
7182720,129,348,160
40403232,96,909,463
4386000,425,16,645
206302995,939,485,453
1684865,529,245,13
33146880,624,830,64
513200896,799,772,832
3751440,105,116,308
151456020,755,876,229
340825500,460,801,925
248908626,838,513,579
1153152,11,832,126
247353960,713,420,826
78520967,301,353,739
48040650,505,315,302
28631925,735,147,265
122095350,773,975,162
106811136,864,306,404
21408187,197,271,401
39775043,451,301,293
281292176,649,824,526
17953572,401,82,546
123828048,666,244,762
16307965,43,505,751
67178040,86,831,940
35455420,805,242,182
107743832,773,152,917
197576340,390,878,577
232283700,275,869,972
41556480,384,773,140
9899253,553,81,221
45934680,253,445,408
428339156,791,818,662
41076252,322,342,373
418094520,673,744,835
17095440,184,489,190
211527492,449,516,913
63403560,648,593,165
42290250,339,998,125
124461673,259,727,661
117999705,883,177,755
32958960,240,191,719
59584206,146,913,447
75558000,1000,98,771
7774338,22,533,663
170008632,972,738,237
463172208,772,692,867
269918656,976,833,332
116706676,607,284,677
420829344,724,897,648
186573374,923,479,422
35103780,466,405,186
94100160,616,536,285
122856720,245,744,674
247058280,948,438,595
50696646,429,734,161
205872912,978,537,392
12809850,235,138,395
22770720,324,502,140
266451072,928,852,337
14941422,619,162,149
185332896,828,571,392
103029248,623,608,272
22143866,794,167,167
706926528,792,966,924
30009072,488,74,831
1944558,11,183,966
3514500,639,10,550
13677846,611,861,26
129151704,367,744,473
434240,80,59,92
533771028,917,684,851
547799656,997,794,692
25913820,116,265,843
24482817,59,981,423
76001152,424,659,272
42403040,103,496,830
131444684,317,502,826
366902360,727,740,682
86525832,701,556,222
43631510,193,611,370
37804914,54,721,971
488712960,895,864,632
254195550,727,777,450
550997100,681,900,899
4144176,27,724,212
351314740,530,791,838
551025,25,31,711
3701940,355,158,66
2485700,53,67,700
26984048,91,344,862
6952356,18,626,617
146397144,503,724,402
248326656,508,608,804
265680,108,6,410
9752832,136,432,166
29361720,740,51,778
50084480,563,640,139
30475848,988,318,97
3095400,469,550,12
92670552,312,543,547
52565058,563,378,247
10209125,575,67,265
277876800,839,400,828
110879692,308,601,599
68448440,778,265,332
59505264,956,156,399
186647836,797,922,254
236623920,509,745,624
54971028,387,623,228
